Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[organism part]	Characteristics[progenitor cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[growth condition]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[spike in]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode read]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[umi barcode read]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[sample barcode read]	Comment[sample barcode offset]	Comment[sample barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_TYPE]	Comment[READ_INDEX]	Factor Value[genetic modification]	Factor Value[library construction]
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S1	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S1_L001_I1_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S1_L001_I1_001.fastq.gz	ERR10036853	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036853/MULTIOME_ATAC_GLI3_D3_S1_L001_I1_001.fastq.gz	sample_barcode	index2	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S1	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S1_L001_R1_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S1_L001_R1_001.fastq.gz	ERR10036853	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036853/MULTIOME_ATAC_GLI3_D3_S1_L001_R1_001.fastq.gz	paired	read1	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S1	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S1_L001_R2_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S1_L001_R2_001.fastq.gz	ERR10036853	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036853/MULTIOME_ATAC_GLI3_D3_S1_L001_R2_001.fastq.gz	cell_barcode	index1	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S1	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S1_L001_R3_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S1_L001_R3_001.fastq.gz	ERR10036853	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036853/MULTIOME_ATAC_GLI3_D3_S1_L001_R3_001.fastq.gz	paired	read2	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S2	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S2_L002_I1_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S2_L002_I1_001.fastq.gz	ERR10036854	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036854/MULTIOME_ATAC_GLI3_D3_S2_L002_I1_001.fastq.gz	sample_barcode	index2	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S2	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S2_L002_R1_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S2_L002_R1_001.fastq.gz	ERR10036854	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036854/MULTIOME_ATAC_GLI3_D3_S2_L002_R1_001.fastq.gz	paired	read1	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S2	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S2_L002_R2_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S2_L002_R2_001.fastq.gz	ERR10036854	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036854/MULTIOME_ATAC_GLI3_D3_S2_L002_R2_001.fastq.gz	cell_barcode	index1	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_D3	ERS12569171	SAMEA110471145	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_D3	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_D3_S2	sequencing assay	ERX9577217	MULTIOME_ATAC_GLI3_D3_S2_L002_R3_001.fastq.gz	MULTIOME_ATAC_GLI3_D3_S2_L002_R3_001.fastq.gz	ERR10036854	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036854/MULTIOME_ATAC_GLI3_D3_S2_L002_R3_001.fastq.gz	paired	read2	CRISPR Cas9 mediated GLI3 knockout (4 and 8 bp insertion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_B4	ERS12569172	SAMEA110471146	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (29 and 41 bp deletion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_B4	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_B4_S1	sequencing assay	ERX9577218	MULTIOME_ATAC_GLI3_B4_S1_L001_I1_001.fastq.gz	MULTIOME_ATAC_GLI3_B4_S1_L001_I1_001.fastq.gz	ERR10036855	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036855/MULTIOME_ATAC_GLI3_B4_S1_L001_I1_001.fastq.gz	sample_barcode	index2	CRISPR Cas9 mediated GLI3 knockout (29 and 41 bp deletion)	10x scATAC-seq
MULTIOME_ATAC_GLI3_B4	ERS12569172	SAMEA110471146	Homo sapiens	409B2	female	36	year	adult	normal	dermis	induced pluripotent stem cell	inducible Cas9 nickase	CRISPR Cas9 mediated GLI3 knockout (29 and 41 bp deletion)	cerebral organoid culture	nucleus	P-MTAB-124502	P-MTAB-124503	P-MTAB-124504	P-MTAB-124505	P-MTAB-124506	MULTIOME_ATAC_GLI3_B4	DNA	PAIRED	PCR	GENOMIC SINGLE CELL	ATAC-seq	10x	10x scATAC-seq	none	genomic DNA	other	none	read1, read2	0	49	index1	0	16	  	  	  	index2	0	8	P-MTAB-124507	DBSSE Genomics Facility	MULTIOME_ATAC_GLI3_B4_S1	sequencing assay	ERX9577218	MULTIOME_ATAC_GLI3_B4_S1_L001_R1_001.fastq.gz	MULTIOME_ATAC_GLI3_B4_S1_L001_R1_001.fastq.gz	ERR10036855	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10036855/MULTIOME_ATAC_GLI3_B4_S1_L001_R1_001.fastq.gz	paired	read1	CRISPR Cas9 mediated GLI3 knockout (29 and 41 bp deletion)	10x scATAC-seq
